"http://www.apra.gov.au","APRA"
"http://austrac.gov.au","AUSTRAC"
"http://www.ahl.gov.au","Aboriginal Hostels Limited"
"http://www.airservicesaustralia.com","Airservices"
"http://www.bom.gov.au","Bureau of Meteorology"
"http://www.cleanenergyregulator.gov.au","Clean Energy Regulator"
"http://climatechangeauthority.gov.au","Climate Change Authority"
"http://www.comcare.gov.au","Comcare"
"http://www.ombudsman.gov.au","Commonwealth Ombudsman"
"http://www.agriculture.gov.au","Department of Agriculture"
"http://www.classification.gov.au","Department of Communications and the Arts"
"http://www.defence.gov.au","Department of Defence"
"http://www.dva.gov.au","Department of Veterans' Affairs"
"http://www.environment.gov.au","Department of the Environment and Energy"
"http://www.familycourt.gov.au","Family Court of Australia"
"http://www.foodstandards.gov.au","Food Standards Australia New Zealand"
"http://firb.gov.au","Foreign Investment Review Board"
"http://www.ga.gov.au","Geoscience Australia"
"http://www.gbrmpa.gov.au","Great Barrier Reef Marine Park Authority"
"http://www.hcourt.gov.au","High Court of Australia"
"http://igt.gov.au","Inspector-General of Taxation"
"http://www.micl.com.au","Moorebank Intermodal Company"
"http://www.naa.gov.au","National Archives of Australia"
"http://ncc.gov.au","National Competition Council"
"http://www.mentalhealthcommission.gov.au","National Mental Health Commission"
"http://www.quitnow.gov.au","Quitline"
"http://www.raafholidays.com.au","RAAF Welfare Recreational Company"
"http://www.seacare.gov.au","Seafarers Safety, Rehabilitation and Compensation Authority"
"http://www.harbourtrust.gov.au","Sydney Harbour Federation Trust"
"http://crdc.com.au","The Cotton Research and Development Corporation"
"http://www.ilc.gov.au","The Indigenous Land and Sea Corporation"
"http://www.tsra.gov.au","The Torres Strait Regional Authority"
"http://www.treasury.gov.au","The Treasury"
"http://www.tiwilandcouncil.com","Tiwi Land Council"
"http://www.tourism.australia.com","Tourism Australia"
